company_name,city,state,funding_stage,last_funding_date,estimated_revenue,operating_status,website,full_description,employee_range,contact_email,founder_name,industries
Fortem Technologies,Pleasant Grove,Utah,Series B,"Apr 22, 2026",$10M to $50M,Active,www.fortemtech.com/,"Fortem Technologies is an innovative leader in AI-enabled airspace security and safety. The company provides real-time intrusion detection and detect-and-avoid solutions. Fortem delivers a military-tested, commercially available solution that alerts, identifies and classifies drones and other unmanned aircraft vehicles (UAVs).

A Silicon Valley venture funded company that delivers innovative technologies to enable safe autonomous airborne operations, Fortem Technologies’ proven solutions allow organizations to transition their unmanned aircraft operations beyond visual line of sight (BVLOS). The company is privately held and backed by multiple investors.",101-250,info@fortemtech.com,Adam Robertson,"Transportation, Aerospace, Air Transportation, Autonomous Vehicles, Drone Management, Mechanical Engineering"
Labs,Santa Monica,California,Seed,"Aug 22, 2025",$1M to $10M,Active,labscompanies.com,"Labs Companies, Inc. (branded and doing business as Labs) is an American global superintelligence human-enhancement technology supercompany headquartered in Santa Monica, CA. Established in 2025 through a restructuring of LavLabs Inc., Labs now serves as the parent holding company of LavLabs, itself apart of seven core family of labs: Labsintelligence, Labs Realities, Labs Blocks, Labs Crypto, LabsX, Factory5227 and several specialized multi-labs. Each lab is dedicated to advancing human capabilities through transformative products, services, platforms, and technologies (PSPTs) in ASI, digital economies, immersive realities, consumer social, wearables and social experiences.

The Labs Manifesto: Humanizing every moment on the internet.

Our name “Labs” celebrates the field of Chemistry, and our test-tube emblem, Chemí (/kim-me/), reflects our commitment to innovation.

At Labs, our mission is to inspire creativity to shape futures that help build communities and advance human capabilities. We believe that every human on the planet could thrive greatly with equal access and opportunity to technology. Through our flagship, franchise, framework and fandom, family of brands, we create transformative human-enhancements that connect humanity through creativity, community, and innovation.

Our ecosystems and economies spans across a core and specialized family of labs, including Labs Financial Group (managing Labs Payments, Yuhmmy Wallet and financial solutions within the FinTaste ecosystem), Labs Investor Group (managing early-stage, growth-stage, CVC, fund-of-funds, hedge fund, mutual fund, ETF, index fund and pension fund investments through Labs Ventures, Labs Capital, Labs Investments, Labs Funds, Labs Equity and Labs Shares), Labs Realty Group (managing YuhmmyHouse, a Social-Taste Superclub and the Tastespitality Ecosystem), Labs Start Studios (Hatch Studio, Launch Studio, and Lift Studio for entrepreneurial enhancements), Labs Learn Studios (Labs University, Labs Academy, and Labs Institute for educational enhancements), Labs Entertainment (managing Yuhmmyevents and its annual Yuhmmylicious Week and CraveCon), Labs Media (managing the official podcast by Labs: TubeTechTalks, and Yuhmmy: TastefulTalks).

Our inaugural family of brand is Yuhmmy, the world’s first Everything Social-Taste Superbrand and ecosystem designed for discovering, experiencing, and sharing anything tasty. Its Yuhmmy App brings people together to explore food, drinks, sweets, snacks, and recreational flavors in fun, funny, and flavorfully engaging ways. Featuring innovative tools like Tastechat, Taste Sports, Taste Drops, Cravecash, YuhmmyAI, and Yuhmmy AR/VR, Yuhmmy empowers a revolutionary “Tasteconomy” driven by Taste Intelligence.

Labs is committed to reshaping the future of human-enhancements, seamlessly merging digital and physical worlds to redefine engagement, empowerment, education and earning.

Our Labs Foundations supports sustainability, S.T.E.A.M. education, and scholarships for underserved communities through 5227.org and Lifthumankind.org, committing 1% of proceeds and resources via pledge 1%.",1-10,info@labscompanies.com,Duránd F. Davis Jr.,"Data and Analytics, Financial Services, Hardware, Artificial Intelligence (AI), Augmented Reality, Blockchain, Cryptocurrency, Generative AI"
Moonshot AI,New York,New York,Seed,"Oct 21, 2025",,Active,www.moonshot-ai.com,"Moonshot AI is a No-code solution that optimizes e-commerce stores automatically. The platform utilizes the power of generative AI to enable brands to constantly iterate on CRO experiments, without requiring design, analysis, or developer resources.",1-10,hello@moonshot-ai.com,Aviv Frenkel,"Science and Engineering, Software, Artificial Intelligence (AI), E-Commerce, Generative AI"
Beeline Medicines,Boston,Massachusetts,Series A,"Apr 15, 2026",,Active,beelinemedicines.com,Beeline Medicines is a biotechnology company that identifies and provides precise treatments to autoimmune inflammatory disorders.,11-50,info@beelinemedicines.com,,"Biotechnology, Health Care, Therapeutics"
Zenity,New York,New York,Series B,"Oct 29, 2024",$1M to $10M,Active,www.zenity.io/,"Zenity is the first security and governance platform purpose-built for AI agents - spanning SaaS, home grown platforms (Cloud), and end-user devices (Endpoint). Trusted by Fortune 500 enterprises, Zenity helps security teams confidently adopt AI by delivering defense in depth with full-lifecycle coverage: from agent discovery and posture management to real-time detection, prevention, and response. As enterprises adopt Microsoft Copilot, Salesforce Agentforce, AWS Bedrock, and developer tools like GitHub Coplitot, Zenity eliminates blind spots and enforces consistent policy across environments so organizations can innovate with AI, without compromising security. Learn more at www.zenity.io.",101-250,hello@zenity.io,Ben Kliger,"Privacy and Security, Science and Engineering, Software, Artificial Intelligence (AI), Cloud Security, Cyber Security"
Generate Biomedicines,Somerville,Massachusetts,Series C,"Dec 18, 2024",$50M to $100M,Active,generatebiomedicines.com,"Generate Biomedicines is a biotechnological company focusing on creating breakthrough medicines. It pioneers in the field of Generative Biology, a revolutionary approach to drug development that allows them to program protein-based modalities for the first time. Generate Biomedicines has proved that its machine-learning platform can generate new biological molecules with therapeutic value, accelerating the drug discovery process.",251-500,info@​generatebiomedicines.​com,Geoffrey von Maltzahn,"Design, Health Care, Science and Engineering, Artificial Intelligence (AI), Biotechnology, Medical, Product Research"
Pearl,West Hollywood,California,Series B,"Jul 24, 2024",$1M to $10M,Active,hellopearl.com,"Pearl is the global leader in dental AI, reshaping oral healthcare with tools that raise the standard for diagnostic accuracy, trust, and innovation. Founded in 2019, Pearl helps clinicians, practice owners, universities and public health systems deliver consistent, high-quality care and stronger practice performance.

With the broadest AI footprint in dentistry, Pearl powers everything from chairside diagnosis to enterprise intelligence—elevating care and driving growth across diverse clinical environments. Our solutions are built in close partnership with those who use them—providers, practice managers, and educators at leading dental colleges worldwide. That’s why Pearl’s products reflect real-world workflows and integrate with the widest array of imaging and practice management systems, enabling teams to streamline operations and enhance care.

Pearl’s diagnostic AI assistant, Second Opinion®, is FDA-cleared to detect disease in dental x-rays for patients 4+ and holds more regulatory clearances—including in over 120 countries—than any other solution. Pearl’s Practice Intelligence® and Precheck® further boost efficiency by surfacing revenue opportunities, automating insurance verification, and giving practices the data they need to grow with confidence. This year, Second Opinion 3D® became the first FDA-cleared AI capable of identifying disease in CBCT scans.

As dentistry’s AI leader, Pearl is committed to advancing robust, accessible tools that elevate care for billions worldwide by improving health outcomes and building greater trust in dental medicine.",101-250,contact@hellopearl.com,Cambron Carter,"Science and Engineering, Software, Artificial Intelligence (AI), Dental, Health Care, Health Diagnostics, Medical"
Tempo,Brazil,Indiana,Seed,"Feb 11, 2025",,Active,www.seutempo.com/,,11-50,,,"Science and Engineering, Software, Artificial Intelligence (AI), Information Technology, SaaS"
unspun,Emeryville,California,Series B,"Jul 29, 2024",$1M to $10M,Active,unspun.io,"We're a fashion company with technology in our veins. Our mission is to reduce global human carbon emissions by 1% through automated, localized, and intentional manufacturing for apparel.",11-50,partnerships@unspun.io,Elizabeth Esponnette,"Manufacturing, Science and Engineering, Software, 3D Technology, Apparel, Fashion, Industrial Manufacturing"
Haast,New York,New York,Series A,"Apr 9, 2026",,Active,www.haast.io,"Haast provides an AI-powered platform designed to automate marketing and content compliance workflows for organizations operating in regulated environments. The company offers tools that review digital assets before publication, identifying potential legal, regulatory, and brand compliance risks within marketing materials, documents, and communications. Its platform applies machine learning models trained on regulatory frameworks and internal company policies to deliver risk-aware assessments aligned with an organization’s compliance standards.

Haast enables continuous monitoring of live digital channels, including websites, social media, and third-party platforms, to detect and flag compliance issues after content is published. The system provides real-time alerts and supports remediation processes, helping teams address risks before they escalate into regulatory or reputational concerns. The company also supports regulatory tracking by identifying relevant rule changes and assessing their impact on existing content and workflows. Its platform integrates with commonly used enterprise tools and content systems, allowing compliance checks to be embedded directly into existing processes without requiring separate manual reviews.",11-50,hello@haast.io,Kunal Vankadara,"Sales and Marketing, Science and Engineering, Software, Artificial Intelligence (AI), Compliance, Marketing Automation, SaaS"
Transcend,San Francisco,California,Series B,"May 28, 2024",$10M to $50M,Active,transcend.io,"Transcend is the only autonomous “can I use this data” platform that powers every data decision to scale customer growth.
Fortune 500 companies and emerging category leaders leverage Transcend to encode complete data use permissions directly into the enterprise systems that process customer data, delivering a real-time source of truth for consent, preferences, and business rules. The result is superior data quality, ethical use that protects the brand, and audit-ready compliance at scale. With Transcend, companies can unlock revenue from AI, personalization, and other first-party data initiatives with confidence.
Founded in 2017 by Ben Brook (CEO) and Mike Farrell (CTO), Transcend is headquartered in the San Francisco Bay Area. The company has been recognized as a Leader in IDC’s MarketScape for Worldwide Data Privacy Compliance Software and twice named to the Deloitte Technology Fast 500™.

Learn more at transcend.io.",101-250,,Ben Brook,"Professional Services, Software, Cloud Infrastructure, Compliance, Privacy"
Osteoboost,San Francisco,California,Series A,"Apr 9, 2026",$1M to $10M,Active,osteoboost.com/,"Bone Health Technologies is a Redwood City-based health-tech company developing innovative, non-invasive, and science-backed solutions for people with low bone density. Its flagship product, Osteoboost, is an FDA-cleared wearable medical device clinically proven to significantly slow the loss of bone density and bone strength through patented precision vibration therapy in postmenopausal women with osteopenia. 

Inspired by NASA-funded research and driven by science and a commitment to improving health outcomes, Osteoboost is poised to become the new standard of care – offering a convenient, non-pharmacological, pain-free treatment to the nearly 64 million Americans at risk of osteoporotic fractures.",11-50,laura@osteoboost.com,Daniel Burnett,"Health Care, Medical, Medical Device"
Positron,Reno,Nevada,Series B,"Feb 4, 2026",,Active,positron.ai,"Positron is an artificial intelligence infrastructure company that designs and supplies purpose-built hardware and software systems for accelerating inference of transformer-based models used in generative AI workloads. Its offerings include inference-optimized compute platforms that support deployment of large language models and other AI applications with reduced power consumption and enhanced performance compared with traditional GPU-based systems, enabling enterprise and cloud teams to serve models efficiently with lower operational cost and energy use. The company’s technology is engineered to run popular open-source transformer models seamlessly through compatible APIs, facilitating integration into existing AI workflows without extensive modification. Positron’s platforms combine custom hardware architectures with supporting software to help customers scale AI deployment, manage performance, and extend model context capacity for diverse workloads. It also works to advance next-generation compute solutions that address memory bandwidth and scalability challenges common in AI inference environments. Positron engages with technical and infrastructure teams to deploy its systems in data center and cloud environments where inference workloads require cost-effective, high-throughput processing.",11-50,contact@positron.ai,Barrett Woodside,"Information Technology, Science and Engineering, Software, AI Infrastructure, Artificial Intelligence (AI), Semiconductor"
VeraDermics,New Haven,Connecticut,Series C,"Oct 16, 2025",,Active,www.veradermics.com,"Veradermics is a dermatology-focused biopharmaceutical company that develops treatments for common skin and hair conditions. Its lead drug candidate, VDPHL01, is an extended-release oral minoxidil being tested in Phase 3 clinical trials for pattern hair loss in both women and men. The company also has pipeline programs targeting conditions such as common warts, molluscum contagiosum, and atopic dermatitis.",1-10,info@veradermics.com,Kyle Ryder,"Health Care, Pharmaceutical, Therapeutics"
Aaru,New City,New York,Series A,"Dec 5, 2025",,Active,aaru.com,,11-50,,Cameron Fink,"Business Development, Business Intelligence, Manufacturing"
Sardine,Miami,Florida,Series C,"Feb 11, 2025",$10M to $50M,Active,www.sardine.ai,"Sardine specializes in providing risk management solutions primarily for the financial services sector. They focus on using artificial intelligence and machine learning to help enterprises manage risks associated with fraud, credit, and compliance. The company aims to serve businesses in the digital economy by offering tools and services that enhance operational efficiency and ensure regulatory compliance.",101-250,sales@sardine.ai,Aditya Goel,"Privacy and Security, Software, Cryptocurrency, FinTech, Fraud Detection"
Alcatraz AI,Cupertino,California,Series B,"Apr 1, 2026",$1M to $10M,Active,www.alcatraz.ai,"Alcatraz AI replaces badging as an access point identification method by leveraging facial recognition, 3d sensing, and AI. The company builds a facial authentication platform using AI and 3D sensing to enable a highly secure and frictionless entry into physical locations.

Alcatraz AI was founded in 2016 and is headquartered in California, USA.",51-100,contact@alcatraz.ai,Vince Gaydarzhiev,"Privacy and Security, Science and Engineering, Software, 3D Technology, Artificial Intelligence (AI), Computer Vision, Facial Recognition, Machine Learning"
Zafran Security,New York,New York,Series C,"Dec 2, 2025",,Active,www.zafran.io,"Zafran Security is a cybersecurity startup specializing in vulnerability prioritization and threat exposure management, aiming to identify, remediate, and mitigate risks within organizations. The AI-native exposure management platform developed by the company aims to proactively avert the exploitation of vulnerabilities by incorporating autonomous agents throughout all stages of the vulnerability management lifecycle. With threat actors rapidly exploiting newly revealed security vulnerabilities through AI automation, Zafran's platform enables organizations to take action before these vulnerabilities result in incidents. The company’s solutions work alongside current security tools, utilizing AI agents to pinpoint weaknesses, provide contextual information, and address these issues by linking them to controls and evaluating the potential for exploitation.",51-100,info@zafran.io,Ben Seri,"Software, Cyber Security, Information Technology, Network Security, Risk Management"
Overland AI,Seattle,Washington,Series B,"Feb 3, 2026",$10M to $50M,Active,www.overland.ai,"Overland AI develops autonomous ground vehicle technology for tactical and operational applications. The company designs fully autonomous vehicles capable of navigating rugged terrain and GPS-denied environments, integrating seamlessly with human-operated systems. Its core technologies include OverDrive, an autonomy stack for off-road maneuvering; OverWatch, a command and control platform for coordinating multiple vehicles; and SPARK, modular hardware that enables autonomy on existing platforms. Overland AI focuses on minimizing risk to human operators while enhancing operational capabilities, supporting applications in defense, wildfire response, and logistical operations. The company emphasizes modularity, tactical versatility, and autonomous coordination to extend ground power in challenging environments.",101-250,info@overland.ai,Byron Boots,"Science and Engineering, Software, Transportation, Artificial Intelligence (AI), Autonomous Vehicles, Machine Learning, Robotics"
Ouro Medicines,San Francisco,California,Series A,"Jan 10, 2025",$1M to $10M,Active,www.ouromedicines.com,"Ouroboros Medicines is a biotechnology company that specializes in immunology and focuses on treating long-term immune-mediated illnesses. The company addresses chronic immune-mediated conditions directly by integrating scientific knowledge, a proven history of progressing cell-depleting treatments through clinical trials, and a strong pipeline.",11-50,info@ouromeds.com,,"Biotechnology, Health Care, Medical"
RoboForce,Milpitas,California,Seed,"Mar 16, 2026",$10M to $50M,Active,www.roboforce.ai,"RoboForce is building the future of Physical AI — scalable, deployable Robo-Labor designed for demanding industrial environments. Founded in 2023 by experts from CMU, UMich, Amazon Robotics, Google, Waymo, Cruise, Tesla Robotics, ABB, and Apple. RoboForce is backed by YZi Labs, Myron Scholes, Gary Rieschel, Jerry Yang, Carnegie Mellon University, and beyond.",51-100,hello@roboforce.ai,Calvin Zhou,"Science and Engineering, Software, Artificial Intelligence (AI), Machine Learning, Robotics"
Stedi,New York,New York,Series C,"Mar 24, 2026",$1M to $10M,Active,www.stedi.com,"Stedi is building the world’s only API-first clearinghouse. By offering modern API interfaces alongside traditional real-time and batch EDI processes, Stedi enables both healthcare technology businesses and established players to exchange mission-critical transactions. Stedi has raised $92 million from Addition, Stripe, Union Square Ventures, First Round Capital, Bloomberg Beta, and other top investors.",51-100,hello@stedi.com,Zack Kanter,"B2B, Health Care, Information Technology"
Superpower,Los Angeles,California,Series A,"Apr 22, 2025",$1M to $10M,Active,superpower.com,"Superpower offers a digital health platform that integrates comprehensive diagnostics, personalized care plans, and health tracking tools. The service includes over 100 lab tests per year, covering areas such as cardiovascular health, hormone levels, inflammation, and gut microbiome analysis. Users receive a customized action plan with recommendations on diet, supplements, and lifestyle adjustments. The platform provides a centralized dashboard for storing and monitoring medical records and test results over time. Additional services include access to a concierge care team, specialty testing for toxins and genetic markers, and a curated marketplace of health products. Superpower operates on a membership model, offering its services for an annual fee.",11-50,,Jacob Peters,"Health Care, Health Diagnostics, Personal Health"
Debbie,New York,New York,Seed,"Apr 13, 2026",Less than $1M,Active,joindebbie.com,Points for the 99%. Get paid to pay off your debt and save. Debbie partners with mission-aligned financial institutions to acquire and engage young consumers by rewarding them for positive financial habits.,1-10,,Frida Leibowitz,"Financial Services, FinTech, Personal Finance"
Agility,Salem,Oregon,Series C,"Sep 10, 2025",$10M to $50M,Active,www.agilityrobotics.com,"Agility develops humanoid robots and automation platforms for warehouse, manufacturing, and logistics operations. It provides robotic deployment solutions and software platforms that support industrial automation and the handling of repetitive tasks. The company also offers software platforms to manage and support robotic operations in industrial environments.",251-500,ar-legal@agilityrobotics.com,Damion Shelton,"Software, Industrial Engineering, Mechanical Engineering, Robotics"
Petual,San Francisco,California,Seed,"Apr 23, 2026",,Active,www.petual.ai,"Petual is building the AI-powered platform for audit and compliance, transforming how enterprises manage SOX, operational, financial, and compliance risk. Our intelligent agents deliver precision, coverage, and speed impossible with manual testing.",11-50,contact@petual.ai,Snir Kodesh,"Information Technology, Professional Services, Science and Engineering, Artificial Intelligence (AI), Compliance, Enterprise Software, Financial Services"
OneRail,Orlando,Florida,Series C,"Nov 21, 2024",$10M to $50M,Active,www.onerail.com,"OneRail is a logistics company that offers comprehensive last mile delivery solutions through its OmniPoint™ platform. The company connects clients with a vast network of couriers, ensuring real-time visibility and efficient order fulfillment.",101-250,info@onerail.io,Bill Catania,"Last Mile Transportation, Logistics, SaaS, Supply Chain Management"
TrueFoundry,San Francisco,California,Series A,"Feb 6, 2025",$1M to $10M,Active,truefoundry.com,"TrueFoundry is an Enterprise Platform as a service that enables companies to build, ship and govern Agentic AI applications securely, at scale and with reliability through its AI Gateway and Agentic Deployment platform. Its AI Gateway encompasses a combination of - LLM Gateway, MCP Gateway and Agent Gateway - enabling enterprises to manage, observe, and govern access to all components of a Gen AI Application from a single control plane while ensuring proper FinOps controls. Its Agentic Deployment platform enables organizations to deploy models on GPUs using best practices, run and scale AI agents, and host MCP servers - all within the same Kubernetes-native platform. It supports on-premise, multi-cloud or Hybrid installation for both the AI Gateway and deployment environments, offers data residency and ensures enterprise-grade compliance with SOC 2, HIPAA, EU AI Act and ITAR standards. Leading Fortune 1000 companies like Resmed, Siemens Healthineers, Automation Anywhere, Zscaler, Nvidia and others trust TrueFoundry to accelerate innovation and deliver AI at scale, with 10Bn + requests per month processed via its AI Gateway and more than 1000+ clusters managed by its Agentic deployment platform. TrueFoundry’s vision is to become the Central control plane for running Agentic AI at scale within enterprises and empowering it with intelligence so that the multi-agent systems become a self-sustaining ecosystem driving unparalleled speed and innovation for businesses. To learn more about TrueFoundry, visit truefoundry.com.",11-50,,Abhishek Choudhary,"Information Technology, Science and Engineering, Software, Agentic AI, AI Infrastructure, Artificial Intelligence (AI), DevOps, Machine Learning"
Browserbase,San Francisco,California,Series B,"Apr 22, 2025",,Active,www.browserbase.com,"Browserbase is a comprehensive platform for developers to host, administer, and monitor headless browsers in the cloud.",11-50,support@browserbase.com,Paul Klein IV,"Information Technology, Software"
Neurable,Boston,Massachusetts,Series A,"Dec 19, 2025",$1M to $10M,Active,neurable.com/,"Neurable is a neurotechnology company specializing in developing AI-powered tools for brain signal translation and brain-computer interface technology. Utilizing patented signal processing, developed through research across labs and institutions, and advanced by a scientific and expert product team, its platform enables high-performance brain-computer interface in everyday devices.",11-50,info@neurable.com,Adam Molnar,"Design, Hardware, Science and Engineering, Artificial Intelligence (AI), Augmented Reality, Human Computer Interaction, Neuroscience, Virtual Reality"
Unframe,Cupertino,California,Series A,"Apr 3, 2025",$1M to $10M,Active,www.unframe.ai,"Unframe helps enterprises move beyond generic, low-accuracy AI tools that don’t deliver real business value. Its platform is designed to build tailored production-ready, AI-native solutions fast. Unframe works with each organization to pinpoint the right use case and, in about three days, delivers a fully functional solution that can be tested on sample data or the company’s own data. Only once clear value is demonstrated does Unframe move forward with licensing.

The platform supports a wide range of use cases, from observability, business intelligence and analytics to extracting and abstracting unstructured data, and building proactive workflows and agents. Unframe’s platform is built from hundreds of deep technical building blocks that can be tailored and assembled using a Blueprint architecture to meet each customer’s exact needs. Every Unframe solution can run on the customer's cloud, on-premises, or as fully managed SaaS, and is LLM agnostic.",51-100,contact@unframe.ai,Adi Azarya,"Software, Artificial Intelligence (AI), SaaS"
Hadrian,Hawthorne,California,Series C,"Dec 30, 2025",,Active,hadrian.co,"Hadrian is a precision manufacturing company that manufactures precision components to serve aerospace and defense clients. It builds autonomous, software-defined precision component factories that help its customers make rockets, satellites, jets, and eVTOLs.",101-250,,Chris Power,"Science and Engineering, Software, Transportation, Aerospace, Artificial Intelligence (AI), Machinery Manufacturing, Manufacturing, Supply Chain Management"
Auctor,San Francisco,California,Series A,"Apr 15, 2026",,Active,getauctor.com,"Auctor is a software platform that provides an AI-driven system designed to support software implementation processes for professional services teams and system integrators. It functions as an “agentic operating system” that captures, structures, and manages project requirements while keeping related conversations, decisions, and artifacts connected throughout the delivery lifecycle. The platform ingests institutional knowledge and automatically records inputs from discovery sessions and workshops, transforming unstructured data into structured requirements ready for execution. It also generates project materials such as scopes, plans, and documentation, enabling teams to move from discovery to delivery more efficiently while maintaining consistency across outputs. Additionally, Auctor maintains traceability across teams and stages, ensuring alignment between stakeholders and preserving continuity from initial planning through implementation.",11-50,will@getauctor.com,Anthony Sky Ng-Thow-Hing,"Generative AI, Productivity Tools, SaaS, Software"
FINNY,New York,New York,Series A,"Dec 18, 2025",$1M to $10M,Active,finny.com,"FINNY is a software platform that provides financial advisors with tools to find, prioritize, and engage potential clients through data-driven prospecting, scoring, and outreach automation. The platform aggregates and analyzes large sets of prospect data to help advisors identify individuals whose recent life events or financial situations may signal readiness for advisory services, and assigns a predictive score to highlight prospects with higher likelihoods of engagement. FINNY also generates personalized outreach content, suggests suitable communication channels, and can manage follow-up interactions and meeting scheduling for advisors. The service is designed to streamline advisor workflows and support targeted client acquisition without manual lead research. Its system continuously updates prospect insights to assist advisors in monitoring opportunities over time.",11-50,support@finny.com,Eden Ovadia,"Science and Engineering, Software, Artificial Intelligence (AI), FinTech, Machine Learning, Wealth Management"
Tracebit,Manhattan,New York,Series A,"Mar 17, 2026",,Active,tracebit.com,"The answer to Assume Breach. Most breaches aren’t detected for months. Tracebit detects them in seconds. Deploy canaries across your environment that trigger high-fidelity alerts when attackers move laterally, escalate privileges or access credentials.",11-50,,Andy Smith,"Cloud Security, Cyber Security, Intrusion Detection"
Audos,New York,New York,Seed,"Jun 26, 2025",,Active,audos.com,Audos helps everyday entrepreneurs build small AI companies by providing tools to author AI agents and create businesses around personal interests and experiences.,1-10,,Henrik Werdelin,"Lending and Investments, Science and Engineering, Software, Artificial Intelligence (AI), Incubators, Venture Capital"
Neomorph,San Diego,California,Series B,"Apr 13, 2026",,Active,neomorph.com,"Neomorph develops protein degradation therapies targeting diseases not addressed by conventional treatments. The company designs molecular strategies that induce proximity between proteins to enable selective degradation through natural cellular pathways. Its work focuses on discovering compounds that can modulate protein function by removing or altering specific targets within cells. The organization applies computational design, structural biology, and chemical biology to support drug discovery efforts. It advances programs across multiple therapeutic areas where controlled protein degradation may provide new treatment options.",101-250,,Benjamin Ebert,"Biotechnology, Clinical Trials, Health Care"
NeoCognition,Palo Alto,California,Seed,"Apr 21, 2026",,Active,neocognition.io,"NeoCognition is an AI research lab specializing in self-learning AI agents that achieve expert-level intelligence through autonomous adaptation to specific domains. company develops generalist agents that continuously learn workflows, structures, and constraints in real-world environments like software and websites. This enables them to specialize on the job, becoming faster, more cost-effective, reliable, and safer for high-stakes applications—addressing reliability issues in current AI systems that succeed only about 50% of the time.",11-50,,,"Science and Engineering, Software, Artificial Intelligence (AI), Market Research"
Lucid Bots,Charlotte,North Carolina,Series B,"Mar 25, 2026",$10M to $50M,Active,www.lucidbots.com,"Lucid Bots is a technology company that develops autonomous robotic systems designed for industrial cleaning and exterior maintenance tasks. It provides drones and robotic platforms used for applications such as building facade cleaning, window washing, and pressure washing in commercial environments. The company integrates software, sensors, and navigation systems to enable controlled and repeatable operations with reduced manual intervention. Its product offerings include hardware units, operator training, and support services for deployment and ongoing use. Lucid Bots also focuses on improving safety conditions by minimizing the need for workers to perform tasks at height or in hazardous environments.",51-100,sales@lucidbots.com,Adrian Mayans,"Data and Analytics, Hardware, Manufacturing, Artificial Intelligence (AI), Drones, Industrial Automation"
Casca,San Francisco,California,Series A,"Aug 19, 2025",,Active,www.cascading.ai,"Casca provides an AI-native loan origination platform for SBA lenders and FDIC-insured banks. The company's loan origination system is designed for automating manual banking tasks. It utilizes artificial intelligence technology and streamlines processes like document collection for loans, account setup, and compliance procedures to allow banks, credit unions, and non-bank lenders to originate commercial loans with less manual effort.",11-50,lukas@cascading.ai,Isaiah Williams,"Lending and Investments, Science and Engineering, Software, Artificial Intelligence (AI), Banking, FinTech"
Deccan AI,San Francisco,California,Series A,"Mar 25, 2026",,Active,www.deccan.ai,"Deccan AI specializes in providing high-quality, human-labeled data for AI model training and evaluation.",101-250,,Rukesh Reddy,"Software, Artificial Intelligence (AI), SaaS"
Anrok,San Francisco,California,Series C,"Oct 21, 2025",$1M to $10M,Active,anrok.com,"Anrok provides a software platform for global sales tax and VAT compliance. It handles integration with billing, payment, and HR systems to monitor tax exposure, validate VAT IDs, automate sales tax calculations, manage registrations, and coordinate filing and remittance processes. The company supports real-time tax collection, tracking of physical and economic nexus and consolidated compliance reporting across jurisdictions. It offers no-code and API‐based connections to finance stacks, facilitating audit-ready transaction logs and jurisdictional coverage for digital services and goods.",101-250,hello@anrok.com,Kannan Goundan,"Compliance, Financial Services, SaaS, Software, Tax Preparation"
nEye,Santa Clara,California,Series C,"Apr 14, 2026",$1M to $10M,Active,www.neye.ai,"NEye develops semiconductor and photonic switching technologies that enable high-speed data connectivity for artificial intelligence and high-performance computing infrastructure. The company creates systems that use light instead of electricity to connect different parts like GPUs, CPUs, and memory in big data centers, making communication faster and more efficient. Its main product combines silicon photonics, MEMS, and CMOS technologies into a small ""optical circuit switch on a chip,"" allowing for fast and efficient data transfer between computing units. This approach addresses data movement bottlenecks that arise in AI workloads, where increasing compute power requires faster and more efficient interconnect solutions.

NEye’s platform enables reconfigurable network architectures by allowing dynamic connections between thousands of processing units, supporting composable infrastructure where compute resources can be pooled and reassigned as needed. The technology is designed to improve scalability and flexibility in hyperscale data center environments. The company focuses on energy-efficient and compact designs that reduce power consumption compared to conventional switching systems, which is critical for modern data centers operating under power and thermal constraints. Its solutions are built using foundry-compatible processes, supporting transition from prototype to high-volume semiconductor manufacturing.",11-50,info@neye.ai,Kyugnmok Kwon,"Manufacturing, Science and Engineering, Software, Advanced Materials, Artificial Intelligence (AI), Nanotechnology, Semiconductor"
Hebbia,New York,New York,Series B,"Jul 8, 2024",$10M to $50M,Active,hebbia.com,"Hebbia is the interface for AGI– the first AI platform that works the way humans work. Designed to tackle even the most complex tasks, it turns prompts into processes that AI agents complete. Finance, law, government, and pharma professionals from the world’s largest institutions are using Hebbia to execute workflows with hundreds of steps over millions of documents. While other systems are a black box, Hebbia shows its work, letting users verify, trust, and collaborate with AI.",101-250,hello@hebbia.com,George Sivulka,"Software, Artificial Intelligence (AI), Business Intelligence, Productivity Tools"
Superstate,San Francisco,California,Series B,"Jan 22, 2026",,Active,superstate.co,"Superstate is a financial technology firm that develops blockchain-based investment products connecting traditional financial assets with crypto markets. It provides tokenized securities and investment funds that represent legal shares of public companies or pooled assets such as government securities on public blockchains, enabling on-chain settlement and flexible ownership options. The company operates an investor portal and APIs that allow qualified purchasers to hold, transfer, and manage tokenized holdings, including direct token minting and bridge functions between conventional and blockchain markets. Superstate also facilitates compliant on-chain equity issuance through its platform for public companies to list and trade official shares on blockchain networks, with built-in regulatory controls and smart contract permissioning. Its approach emphasizes regulatory alignment and transparent digital record-keeping for investment products.",11-50,info@superstate.co,Dean Swennumson,"Blockchain, Finance, Financial Services"
Tennr,New York,New York,Series C,"Jun 18, 2025",,Active,www.tennr.com,"Tennr is a healthcare AI startup that optimizes healthcare operations by automating back-office tasks. The company leverages AI technology to replace traditional faxing systems and streamline communication processes in healthcare, ensuring patients receive timely care.",51-100,hello@tennr.com,Diego Baugh,"Science and Engineering, Software, Artificial Intelligence (AI), Health Care, Medical"
